SMILES,SPLIT
COc1ccc(CNC(=O)c2ccccc2Cl)cc1,test
CCOC(=O)c1ccc(NC(=O)Cc2ccccc2)cc1,test
O=S(=O)(c1ccccc1)N(Cc1ccccc1)c1ccccn1,test
CCOC(=O)C1CCN(C(=O)c2ccccc2Br)CC1,test
COC(=O)c1ccc(NC(=O)Cc2ccc(OC)cc2)cc1,test
COC(=O)c1ccc(NC(=O)c2c(OC)cccc2OC)cc1,test
Cc1cc(Br)ccc1NC(=O)c1cccnc1,test
CC(=O)Nc1cccc(NS(=O)(=O)c2ccc(F)cc2)c1,test
Cc1cccc(=NS(=O)(=O)c2cc(Cl)ccc2Cl)[nH]1,test
CC(=O)Nc1ccc(S(=O)(=O)NCc2ccc(C)cc2)cc1,test
Cc1cc(Br)ccc1NC(=O)C(C)C,test
CCNC(=O)c1c(-c2ccccc2Cl)noc1C,test
CN(Cc1ccccc1)S(=O)(=O)c1ccc(Br)cc1,test
COc1ccc(C(=O)Nc2ccccc2C(C)C)cc1OC,test
O=C(c1ccco1)N1CCN(c2cccc(Cl)c2)CC1,test
COc1cccc(C(=O)Nc2nc3ccccc3s2)c1,test
CCOc1ccccc1NC(=O)c1ccc(N(C)C)cc1,test
CC(=O)Nc1ccc(C(=O)NC(C)c2ccccc2)cc1,test
CC(=O)Nc1ccc(C(=O)NCc2cccnc2)cc1,test
CC(=O)Nc1ccc(C(=O)N2CCc3ccccc32)cc1,test
CC(=O)Nc1ccc(C(=O)Nc2cccnc2)cc1,test
CC(=O)Oc1ccccc1C(=O)n1cnc2ccccc21,test
CC(=O)Oc1ccccc1C(=O)Nc1ccc(S(N)(=O)=O)cc1,test
NC(=O)c1ccccc1NC(=O)c1cc(Cl)ccc1Cl,test
NC(=O)c1ccccc1NC(=O)CC(c1ccccc1)c1ccccc1,test
NS(=O)(=O)c1ccc(CNC(=O)N2CCOCC2)cc1,test
CCCC(C)NS(=O)(=O)c1ccc(Cl)cc1,test
CCC(C(=O)NCc1ccccn1)c1ccccc1,test
O=C(Cc1cccs1)Nc1ccc(Cl)cc1,test
CC(Oc1ccccc1)C(=O)Nc1ccccc1F,test
CC(C)NC(=O)Cc1ccc(Br)cc1,test
CCN(Cc1ccccc1)C(=O)Cc1cccs1,test
CC(=O)Nc1cccc(NC(=O)Cc2ccc(Br)cc2)c1,test
N#Cc1ccccc1NC(=O)Cc1ccc(Br)cc1,test
CCOc1ccccc1NC(=O)Cc1cccs1,test
NC(=O)c1ccc(NC(=O)Cc2cccs2)cc1,test
COc1cc(SC)ccc1C(=O)N1CCc2ccccc2C1,test
COc1cc(SC)ccc1C(=O)Nc1ccc(NC(C)=O)cc1,test
COc1cc(SC)ccc1C(=O)Nc1ccc(C(N)=O)cc1,test
CC(Oc1ccccc1)C(=O)NCc1ccncc1,test
CCOC(=O)C1CCCN(C(=O)c2ccccc2F)C1,test
CC(=O)Nc1nonc1NC(=O)c1ccccc1Cl,test
Cc1cc(NC(=O)Nc2cccc3ccccc23)no1,test
Cc1nc2ccccc2c(=O)n1-c1ccc(F)c(F)c1F,test
COc1cc(OC)cc(C(=O)Nc2cc(C)on2)c1,test
CCOc1ccc(C(=O)Nc2ccc(N(C)C(C)=O)cc2)cc1,test
CC(=O)Oc1ccccc1C(=O)NCc1ccc2c(c1)OCO2,test
CCOC(=O)c1cccc(NC(=O)N2CCOCC2)c1,test
NS(=O)(=O)c1ccc(CCNC(=O)N2CCOCC2)cc1,test
CC(=O)N(C)c1ccc(NC(=O)N2CCOCC2)cc1,test
CCOC(=O)C1CCCN(C(=O)Cc2ccc(Cl)cc2)C1,test
Cc1nnc(NC(=O)Cc2ccc(Br)cc2)s1,test
CCC(C)C(=O)NCCc1ccc(S(N)(=O)=O)cc1,test
Cn1c(=O)c2cc(C#N)c(=O)oc2c2ccccc21,test
c1cnc2c(SCC3CCOCO3)cccc2c1,test
O=C(CSc1nc2ncccc2[nH]1)N1CCOCC1,test
Cn1c(=O)c2c(nc3n(CCO)c(-c4cccs4)cn23)n(C)c1=O,test
Cn1c(SCc2ccc3c(c2)OCO3)nc2ccccc2c1=O,test
O=C(Nc1ccccc1C(=O)NCc1ccco1)c1ccc(F)cc1,test
O=C1CC(C(=O)NCCc2ccccc2)C2(CCCCC2)O1,test
Cc1nc2ccccc2c(=O)n1NC(=O)c1ccc(F)cc1,test
COc1ccc(C(=O)NCc2ccc(Cl)cc2)cc1OC,test
CCN(CC)S(=O)(=O)c1cccc(C(=O)Nc2cc(C)ccn2)c1,test
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NCc1ccncc1,test
COc1ccc(-n2nnnc2SCc2nc3ccccc3[nH]2)cc1,test
C#CC(C)(CC)NC(=O)CN1c2cccc3cccc(c23)S1(=O)=O,test
Nc1nonc1C(=O)OCC(=O)N1CCCCC1,test
CC1(C(=O)NCc2ccco2)COC(c2ccccc2)OC1,test
CCNS(=O)(=O)c1ccc(C)c(-n2cnnn2)c1C,test
Cc1ccccc1N1CCN(C(=O)c2ccccc2O)CC1,test
O=C(Nc1ccccc1Cl)c1cc2c([nH]c1=O)CCCC2,test
O=C(Nc1ccccc1)c1ccc(-c2ccccc2)[nH]c1=O,test
NC(=O)CSc1nc2ccccc2n1C(=O)Oc1ccccc1,test
Cc1nn(C(=O)c2ccco2)c(C)c1Br,test
Cc1nc2sccn2c1-c1csc(Nc2ccccn2)n1,test
COc1cc(C2CC(=O)Nc3ccc4ccccc4c32)cc(OC)c1O,test
Cc1ccc(N2C(=O)c3ccccc3NC2(C)C)cc1Cl,test
Cc1oc2c(c1C(=O)Nc1ccc3c(c1)OCO3)CCCC2,test
CCC(=O)Nc1nc(C)cc2c1c(=O)oc1ccccc12,test
CCOC(=O)Cc1c(C)nc2c(C#N)c(C)nn2c1C,test
COc1ccccc1C(=O)Nc1ccc2c(c1)OCO2,test
N#Cc1c(NC(=O)c2ccc3c(c2)OCO3)sc2c1CCCC2,test
COc1ccccc1C(=O)Nc1ccc(S(N)(=O)=O)cc1,test
COc1ccc(NC(=O)c2cccc(F)c2)c(OC)c1,test
COc1ccccc1C(=O)Nc1sc(C)c(C)c1C(N)=O,test
COc1ccccc1C(=O)Nc1nc(C)c(C(C)=O)s1,test
CCC(C(=O)Nc1cccc(NC(C)=O)c1)c1ccccc1,test
CCOc1ccc(C(=O)NCc2ccccn2)cc1,test
COc1ccccc1NC(=O)Cc1ccc(F)cc1,test
COC(=O)Nc1c(C)cc(Br)cc1C,test
COc1cc(C(=O)NCc2ccccc2F)cc(OC)c1OC,test
O=C(NCc1ccccn1)C(c1ccccc1)c1ccccc1,test
Cc1ccc(NC(=O)c2cccc(C(=O)Nc3ccc(C)cn3)c2)nc1,test
O=C(Nc1ccc(Br)cn1)c1cc2ccccc2o1,test
O=C(CSc1nnnn1-c1ccccc1)NCc1ccco1,test
O=C(CSc1cccc2cccnc12)Nc1ccccc1,test
COc1cc(C)ccc1S(=O)(=O)NCc1ccco1,test
Cc1cc(N)n(-c2ccc(OC(F)(F)Cl)cc2)n1,test
CCOc1ccc(NC(=O)CSc2ncccn2)cc1,test
COc1ccc(S(=O)(=O)c2cc(O)ccc2O)cc1,test
CCOC(=O)c1c(C)n(C)c2cc(Br)c(O)cc12,test
Cn1c(=O)c2c(nc(SCC(=O)NC(C)(C)C)n2C)n(C)c1=O,test
c1csc(-c2cn3nc4c(nc3n2)CCCC4)c1,test
O=C(NCc1cccnc1)NC1(c2ccccc2)CC1,test
CSc1c(C(N)=O)c(C(N)=O)c2nc(C)cc(C)n12,test
CCOc1ccc(NC(=O)Cc2ccccc2OC)cc1,test
COc1ccc(CCC(=O)Nc2cccc(C)n2)cc1,test
Cc1ccccc1OCC(=O)Nc1ccc(CC#N)cc1,test
O=C(c1ccc(Cl)cc1Cl)N1CCCCC1,test
COc1ccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)cc1,test
O=S(=O)(NCc1ccccn1)c1ccc(F)cc1,test
COc1ccc(CCNC(=O)c2c(C)nc3ccccn23)cc1,test
N#CCn1nnc(C(=O)c2ccco2)c1-c1ccccc1,test
Cc1ccc(S(=O)(=O)CC(=O)NC2CC2)cc1,test
Cc1ccc(-c2nnc(-n3ncc(C#N)c3N)c3ccccc23)cc1,test
Cc1noc(C)c1COc1ccc2c(C)cc(=O)oc2c1,test
O=C(Cn1cnc2ccccc2c1=O)c1ccc(F)cc1,test
O=C(NCCc1ccccc1F)c1ccc2ccccc2n1,test
COc1ccc(-c2csc(N3CCOCC3)n2)cc1OC,test
O=C(Nc1cccc2c(NC(=O)c3ccco3)cccc12)c1ccco1,test
CC(=O)c1ccc(NC(=O)c2ccccc2Cl)cc1,test
O=c1cc(-c2cccc(O)c2)oc2cc(O)ccc12,test
O=S(=O)(Nc1cccnc1)c1ccc(F)cc1,test
CCOC(=O)N1CCN(c2nc(-c3ccc(OC)cc3)cs2)CC1,test
COc1ccccc1OCC(=O)NC1CCCCC1,test
COc1cccc(-c2oc3ccccc3c(=O)c2O)c1,test
COc1cccc(-c2cc(=O)c3cc(O)ccc3o2)c1,test
COc1cccc2oc(-c3ccc(O)cc3)cc(=O)c12,test
O=C(CSc1nc2ccccc2s1)Nc1nccs1,test
COc1ccc(C(=O)Nc2c[nH]c(=O)[nH]c2=O)cc1,test
CCOC(=O)c1c(NC(C)=O)sc(C(C)=O)c1C,test
CCOC(=O)C(C)Oc1ncnc2cccc(F)c12,test
CC(=O)c1cc(Cl)ccc1OC(=O)c1cccnc1,test
COC(=O)c1cccnc1Oc1cccc(C(F)(F)F)c1,test
O=S(=O)(NCc1ccc2c(c1)OCO2)c1ccc(F)cc1,test
COC(=O)C1=C(C)NC(=O)NC1c1ccc(O)c(OC)c1,test
COC(=O)Nc1ccc(S(=O)(=O)Nc2ccccc2OC)cc1,test
CCCc1cc(=O)oc2cc(OCC(=O)OC)ccc12,test
O=C1CCCCCC1C1(O)C(=O)Nc2ccccc21,test
O=C(Nc1ccccc1)c1cc2ccccc2oc1=O,test
NC(=O)c1c(NC(=O)Cc2ccccc2)sc2c1CCCC2,test
Cc1nnc(NC(NC(=O)c2ccco2)C(=O)c2ccccc2)s1,test
COc1cc(C(=O)Nc2ccccc2Cl)cc(OC)c1OC,test
Cc1ccc(N2CC(O)Cn3c2nc2c3c(=O)[nH]c(=O)n2C)cc1,test
Cc1c(NC(=O)c2cccc(F)c2)c(=O)n(-c2ccccc2)n1C,test
CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cnnc1,test
Cc1ccccc1NC(=O)c1c[nH]c2ccccc2c1=O,test
O=C(Nc1ccc2[nH]c(=O)[nH]c2c1)c1cccc(F)c1,test
CCOc1nc2ccccc2c(=O)n1Cc1ccccc1,test
COC(=O)COc1cc(C)cc2oc(=O)c3c(c12)CCCC3,test
Cc1cccc(Cn2c(SC(C)C)nc3c2c(=O)[nH]c(=O)n3C)c1,test
COc1ccccc1C1NC(=O)NC(C)=C1C(=O)OCC(C)C,test
CCOC(=O)C1C(=O)CC(C)(O)C(C(=O)OCC)C1c1ccco1,test
CCOC(=O)C1C(=O)C(=O)N(c2ccccc2)C1c1ccccc1,test
COc1cc(C(=O)Nc2nccs2)cc(OC)c1OC,test
O=c1nc(C(Cl)(Cl)Cl)nc2ccccn12,test
CCOC(=O)CSc1nnnn1-c1ccc(C(N)=O)cc1,test
Cn1c(-c2nonc2NC(=O)c2ccc(F)cc2)nc2ccccc21,test
O=c1c2ccccc2n2nnnc2n1-c1ccccc1,test
O=C(CCC(=O)Nc1nccs1)Nc1nccs1,test
CCc1cc(C(=O)Cc2nc(C)cs2)c(O)cc1O,test
COC(=O)C(Cc1ccc(O)cc1)NC(=O)c1ccco1,test
CCOC(=O)c1c(NC(=O)CC)sc(C(C)=O)c1C,test
COc1ccc(OCC(=O)NCc2ccccc2)cc1,test
O=C(COc1ccccc1)Nc1ccccc1Cl,test
CC(=O)c1ccc(NC(=O)Nc2ccccc2)cc1,test
CCC(=O)Nc1ccc(NCC(=O)Nc2ccc(F)cc2)cc1,test
Cc1cccc(OCC(=O)N2CC(=O)Nc3ccccc32)c1,test
CCOC(=O)C1=C(C)NC(=O)NC1C=Cc1ccccc1,test
Cc1cc(=O)oc2cc(OCC(=O)Nc3ccccn3)ccc12,test
Cn1ccnc1SCC(=O)Nc1ccc(Cl)c(C(F)(F)F)c1,test
O=S(=O)(c1cc(Cl)ccc1Cl)n1ccnc1,test
CC(=O)Oc1ccc(C=c2sc3nc4ccccc4n3c2=O)cc1,test
O=C(NC1CCCCC1)C1CC(O)CN1C(=O)OCc1ccccc1,test
CC(=O)Oc1cccc(C=c2sc3nc4ccccc4n3c2=O)c1,test
COc1ccc(CCN2C(=O)OC(C)(C)C2(C)O)cc1OC,test
CC(=O)Oc1ccc(C(=O)Nc2ccc(F)cc2)cc1,test
COc1ccccc1CNC(=O)c1ccc(OC(C)=O)cc1,test
CC(=O)Oc1ccc(C(=O)Nc2ccccc2C(C)C)cc1,test
CCOC(=O)CSc1nc(CC)c(C)cc1C#N,test
OC1COC(Nc2ccc(Br)cc2)C(O)C1O,test
O=C(NCc1ccc2c(c1)OCO2)c1cccs1,test
Cn1c(=O)n(C)c2cc(C(=O)c3ccccc3)ccc21,test
N#Cc1ccc(-c2ccccc2)nc1SCC(N)=O,test
Cc1ccc(N2CC(C(=O)NC(C)c3ccccc3)CC2=O)cc1,test
COCc1cc(C)nc(SCc2ccccc2)c1C#N,test
COC(=O)c1ccccc1NC(=O)CSc1nc(C)cc(C)n1,test
CCOC(=O)c1cc(C(=O)OCC)c(C)nc1C,test
O=C(NC1CCCCC1)C1CC(=O)N(c2ccccc2)C1,test
O=C(CSc1nc2ccccc2o1)Nc1ccc(Cl)cn1,test
Cc1cc(C)nc(SCC(=O)Nc2ccc(Cl)cn2)n1,test
N#Cc1ccc(NC(=O)CSc2ccccn2)cc1,test
Cc1cc(C(F)(F)F)c(C#N)c(SCC(=O)NC2CC2)n1,test
COC(=O)c1ccc(OCC(=O)Nc2nc3c(s2)CCCC3)cc1,test
O=C(Nc1nc(-c2ccc(F)cc2)cs1)c1cccnc1,test
Nc1nonc1C(=O)OCC(=O)Nc1ccccc1,test
Nc1ccc2nc(SCC(=O)Nc3ccccc3F)sc2c1,test
CCCC(=O)Nc1nnc(C2CCCCC2)s1,test
N#Cc1c(NC(=O)CSc2ccccn2)sc2c1CCCC2,test
O=C(Nc1ccc(Cl)c(C(=O)N2CCOCC2)c1)c1ccccc1,test
Nc1nc(-c2cccnc2)nc2c1c(=O)oc1ccccc12,test
CCc1ccc(NC(=O)CSc2nnc3n(N)cnn23)cc1,test
CC(Cc1ccc2c(c1)OCO2)N(C)C(=O)c1ccc(F)cc1,test
Clc1cccc(Cl)c1COc1ccccc1CNn1cnnc1,test
CC(=O)Nc1nnc(Cc2c[nH]c3ccccc23)s1,test
O=c1c2ccccc2ncn1-c1ccc(F)c(Cl)c1,test
Cc1c(C(=O)N2CCCC2)nnn1-c1nonc1N,test
Nc1c(C(=O)C2CC2)oc2ccc(Br)cc12,test
Cc1ccc(N2CC(C(=O)Nc3cccc(C)n3)CC2=O)cc1,test
O=C(c1cc(F)c(F)cc1Br)N1CCOCC1,test
Cc1cc(C)nc(SCC(O)COCc2ccccc2)n1,test
Cn1ccnc1SCC(=O)c1cc2ccccc2oc1=O,test
CCOc1cc(NC(=O)c2ccccc2)c(OCC)cc1N,test
COc1ccc(C2c3c(noc3C)CC(C)(O)C2C(C)=O)cc1,test
CC1(C)Nc2ccccc2C(=O)N1c1cccc(C(F)(F)F)c1,test
O=C(c1ccccc1)c1ccccc1C(=O)N1CCOCC1,test
O=C(COc1ccc(Cl)cc1)Nc1ncccn1,test
CC(=O)Nc1scc(-c2ccccc2)c1C(=O)N1CCOCC1,test
COc1ccc(C(=O)Nc2ccncc2)c(OC)c1,test
CN(C)c1cccc(NC(=O)Cc2ccc(F)cc2)c1,test
COc1ccc(C(=O)CSc2nncn2C)cc1,test
O=C(CSc1nc2ccccc2[nH]1)c1cccs1,test
Cc1nnc(SCC(=O)c2ccc(Cl)cc2)s1,test
O=C(CSc1nnc2ccccn12)NCc1ccco1,test
CC1(C)COC(O)(C(Cl)(Cl)Cl)CC1=O,test
Cc1ccc(NC(=O)C2CC=CCC2C(=O)N2CCCCC2)cc1,test
NS(=O)(=O)c1ccc(CCNC(=O)c2cccs2)cc1,test
CCOC(=O)Cc1c(SC)c2ccccc2n1C,test
O=C(NCc1ccco1)c1ccc(Cl)cc1Cl,test
O=C(CCS(=O)(=O)c1ccc(F)cc1)N1CCOCC1,test
COc1ccc(C(=O)Nc2cccnc2)c(OC)c1,test
COc1ccc(NC(=O)c2ccc3nc(C)c(C)nc3c2)cc1,test
CCC(=O)N1c2ccccc2C(Nc2ccccc2)CC1C,test
FC1(F)C2C3OC(C4C5C=CC(O5)C34)C2C1(F)F,test
COC(=O)c1cc(CC(=O)c2ccc(O)cc2O)c(C)o1,test
O=c1cnn2c(=O)c(=Cc3ccccc3Br)sc2n1,test
CCOC(=O)c1ccccc1NC(=O)C1COc2ccccc2O1,test
O=C1NC2C(NC(=O)N2Cc2ccccc2)N1Cc1ccccc1,test
CN(C)C(=O)CSc1nnc(-c2cccnc2)n1-c1ccccc1,test
Nc1nccc(Nc2ccc(S(N)(=O)=O)cc2)n1,test
CN1C(=O)CN(C(=O)OCc2ccccc2)C1C(C)(C)C,test
CN1C(=O)CN(C(=O)OC(C)(C)C)C1C(C)(C)C,test
COC(=O)C1CC(C(=O)OC)CC(C(=O)OC)C1,test
CC(=O)Nc1ccc(Oc2ccc(NC(C)=O)cc2)cc1,test
OCCc1ccc(O)c(-n2nc3ccccc3n2)c1,test
COc1cc2c(CCNC(C)=O)c[nH]c2cc1Cl,test
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,test
CC(=O)Oc1ccc2c(C(F)(F)F)cc(=O)oc2c1,test
O=c1cc(-c2ccccc2O)oc2cccc(O)c12,test
COc1ccc(-c2cc(=O)c3cc(O)ccc3o2)cc1,test
COc1cccc(-c2oc3ccccc3c(=O)c2O)c1OC,test
COc1ccc(-c2oc3ccccc3c(=O)c2O)c(OC)c1,test
COc1cccc(C2CC(=O)c3ccccc3O2)c1OC,test
COc1ccc(C(=O)Cc2ccc(OC)c(OC)c2)c(O)c1,test
COc1cc(C=C2OC(=O)c3c2cc(C)[nH]c3=O)ccc1O,test
O=S(=O)(NCc1ccco1)c1ccc(Cl)cc1,test
O=C(c1cc2ncc(Br)cn2n1)N1CCOCC1,test
O=C(COc1ccc(Cl)cc1)N1CCOCC1,test
Cc1cccc(C)c1NC(=O)CSc1nc2ccc(N)cc2s1,test
CCOC(=O)C1CCN(C(=O)c2cc(Cl)ccc2Cl)CC1,test
CCc1cccc(C)c1NC(=O)c1cccc(N(C)C)c1,test
CN(C)c1cccc(C(=O)N2CCN(c3ccc(F)cc3)CC2)c1,test
CSc1nc2ccccc2n1CC(=O)Nc1ccccc1,test
Cc1onc(-c2ccccc2)c1C(=O)NCC1CCCO1,test
NC(=O)c1sc2nc(-c3ccncc3)ccc2c1N,test
CCOC(=O)c1c(NC(=O)C2CCCO2)sc2c1CCCC2,test
O=C(CN1C(=O)C2(OCCO2)c2ccccc21)c1ccc(Cl)cc1,test
COc1ccc2c(=O)cc(C(F)(F)C(F)F)oc2c1,test
CCOC(=O)n1c(SCC(N)=O)nc2ccccc21,test
Cc1cc(C)c(C#N)c(SCC(=O)NC2CC2)n1,test
CCCc1c(C(=O)OCC)nnn1-c1nonc1N,test
COc1ccc(NC(=O)c2cc(OC)cc(OC)c2)cc1,test
Cc1ccc2cc(NC(=O)c3ccccc3F)ccc2n1,test
Cc1ccc(-c2csc3nc(C)n(N)c(=O)c23)cc1,test
O=C1CN(C(=O)c2ccc(F)cc2)c2ccccc2N1,test
CC(=O)Nc1c(C(=O)N2CCCCCC2)cnn1-c1ccccc1,test
Cc1cccc(OCC(=O)Nc2ccc3c(c2)OCO3)c1,test
CCS(=O)(=O)c1ccc(O)c(NC(=O)COc2ccc(C)cc2)c1,test
Cc1ccc(NC(=O)C(C)C)c(Br)c1,test
CN(C(=O)c1ccccc1Cl)C1CCCCC1,test
Cc1cc(OCC(=O)NCc2ccco2)ccc1Cl,test
COc1cc(C(=O)NC(C)C)cc(OC)c1OC,test
COc1cc(C(=O)N(C(C)C)C(C)C)cc(OC)c1OC,test
O=c1oc(-c2ccco2)nc2sc3c(c12)CCC3,test
Cc1nc2c(cnn2-c2ccccc2)c(=O)n1-c1cccnc1,test
CCOC(=O)c1c(NC(=O)c2ccncc2)sc2c1CCC2,test
CC1=C(C(=O)Nc2cccnc2)C(c2ccc(O)cc2)n2ncnc2N1,test
CC1=C(C(=O)Nc2ccccc2)C(c2cccc(O)c2)n2ncnc2N1,test
CC1=C(C(=O)Nc2ccccc2)C(c2ccccc2)n2nnnc2N1,test
Cc1nc(-c2ccc(S(=O)(=O)NCc3ccco3)s2)cs1,test
O=C(Nc1ccc(Cl)c(Cl)c1)N1CCC(O)CC1,test
Cc1nc(C(F)(F)F)ccc1C(=O)Oc1ccc2c(c1)OCO2,test
Cc1nc(C(F)(F)F)ccc1C(=O)Nc1ccccc1F,test
CCc1cccc(C)c1NC(=O)N1CCN(C(=O)OC(C)(C)C)CC1,test
c1ccc(-c2csc3ncnc(N4CCOCC4)c23)cc1,test
CC(O)CNc1ncnc2scc(-c3ccccc3)c12,test
CCOC(=O)C1=C(C)Nc2nnnn2C1c1cc(OC)ccc1OC,test
CCSc1nc2ccccc2n1CC(=O)Nc1c(C)cccc1C,test
O=C(OCn1nnc2ccccc2c1=O)c1ccc(F)cc1,test
Cc1cc(C)nc(SCc2cn3cccnc3n2)n1,test
CCOC(=O)C1=C(C)N(C)C(=O)NC1c1ccc(OC)c(OC)c1,test
Cn1c(=O)c2c(nc(N3CCCC3)n2CC(O)CO)n(C)c1=O,test
COC(=O)c1ccccc1NC(=O)c1cc(OC)cc(OC)c1,test
CN(C)c1ccc(C(=O)Nc2ccc(S(N)(=O)=O)cc2)cc1,test
CC(=O)Nc1ccccc1C(=O)N1CCN(c2ccccc2)CC1,test
O=C(Nc1ccc(F)cc1)c1c(F)cccc1F,test
COc1cc2c(cc1OC)C(c1c(-c3ccccc3)noc1C)=NCC2,test
CCCC1CCc2c(sc(NC(=O)c3ccncc3)c2C(N)=O)C1,test
O=C(Nc1ccc2c(c1)COCO2)c1cc2ccccc2oc1=O,test
Cc1ccc(-c2csc(NC(=O)c3cccnc3)n2)cc1,test
COc1cccc(OC)c1C(=O)Nc1ccccn1,test
O=C(NCC1COc2ccccc2O1)c1ccco1,test
CCC(=O)Nc1ccc(C(=O)c2ccccc2)cc1,test
Cc1cccc(C(=O)Nc2nc3ccc(S(C)(=O)=O)cc3s2)c1,test
c1nc(N2CCOCC2)c2c3c(sc2n1)CCCCC3,test
CCCN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccc(C)cc1,test
CCCN(c1nc(C)cc(OC)n1)S(=O)(=O)c1ccccc1,test
COc1ccc(-n2nnnc2-c2cnc(N)nc2-c2ccccc2)cc1,test
O=C(COc1ccccc1)N1CCN(C(=O)c2ccco2)CC1,test
O=C(c1ccncc1)N1CCN(C(=O)c2cccc(F)c2)CC1,test
O=C(COc1ccccc1)N1CCN(C(=O)Cc2ccccc2)CC1,test
Cc1nc(C)c(C(=O)Nc2ccc(Cl)cc2)s1,test
O=c1nc2n(-c3ccc(F)cc3)c3ccccc3cc-2c(=O)[nH]1,test
O=C(Nn1cnc2ccccc2c1=O)c1ccc(Cl)cc1Cl,test
COc1cccc(C(=O)Nn2nnc3ccccc3c2=O)c1,test
COc1cccc(N(C(C)=O)c2nc(C)cc(C)c2C#N)c1,test
CC(=O)Nc1ncc2c(n1)CC(c1ccc(C)cc1)CC2=O,test
NS(=O)(=O)c1ccc(-n2ncc3ccccc3c2=O)cc1,test
COc1ccc(CC(=O)Nc2c[nH]c(=O)[nH]c2=O)cc1,test
Cc1ccccc1OCC(=O)Nc1c[nH]c(=O)[nH]c1=O,test
COc1cc2nc(CCc3ccccc3)oc(=O)c2cc1OC,test
O=C(Nc1ccccc1)c1ccccc1NC(=O)C1CC1,test
CC(=O)Nc1ccc(Cc2ccc(NC(C)=O)cc2)cc1,test
CC1=C(C(=O)Nc2ccc(C)cc2)C(c2cccs2)NC(=O)N1,test
COC(=O)C1=C(C)Nc2nnnn2C1c1ccccc1OC,test
COC(=O)C1=C(C)Nc2nnnn2C1c1cccc(OC)c1OC,test
COC(=O)c1cccc(-n2c3nc(=O)[nH]c(=O)c-3cc3ccccc32)c1,test
COc1ccc(OC)c(C2NC(=O)NC(C)=C2C(N)=O)c1,test
